en,bm
Malaysia Covid19 (Updated Daily Based on KKM Data),Covid19 Malaysia (Dikemaskini Setiap Hari Berdasarkan Data KKM)
Application Developed by Dr. Ho Ket Li,Aplikasi Dibangunkan oleh Dr Ho Ket Li
How Many Days of Data e.g. 7,Data untuk berapa hari e.g. 7
State (First letter of each word must be Capitalised e.g. WP Kuala Lumpur),Negeri (Huruf pertama setiap perkataan mestilah HURUF BESAR. Contoh: WP Kuala Lumpur)
District (First letter of each word must be Capitalised e.g. Hulu Langat),Daerah (Huruf pertama setiap perkataan mestilah HURUF BESAR. Contoh: Hulu Langat)
This App is Free for Public Usage at Their Own Risk. The Developer will Not Accept Responsibility for Any Mistake of the Data and Figures,Aplikasi ini boleh digunakan secara percuma atas tanggungan risiko sendiri. Pencipta aplikasi tidak bertanggungjawab atas sebarang kesilapan data dan gambarajah
Vaccination,Vaksinasi
Percentage of Population with 2 Doses of Vaccine,Peratus Penduduk yang Menerima 2 Dos Vaksin
"For previous infectious diseases, the threshold to achieve herd immunity is about 80% for Polio and 95% for measles. We are yet to know what proportion of the population need to be vaccined to achieve herd immunity for COVID19.","Bagi penyakit-penyakit berjangkit sebelum ini, nilai ambang imuniti kelompok adalah kira-kira 80% bagi penyakit polio dan 95% bagi demam campak. Kita masih belum mengetahui peratusan populasi yang perlu menerima vaksin untuk mencapai imuniti kelompok terhadap COVID19."
New Cases,Kes Baharu
Daily Tests,Ujian Saringan Harian
The daily tests reported here is a sum of antigen rapid test and PCR tests.,Ujian saringan harian yang dilaporkan merupakan jumlah ujian RTK-Antigen dan RT-PCR.
Positive Rate,Kadar Positif
"Because limited testing makes it likely that many cases will be missed, the positive rate can also help our understanding of the spread of the virus. According to criteria published by WHO in May 2020, a positive rate of less than 5% is one indicator that the epidemic is under control in a country.","Oleh sebab ujian saringan yang terbatas mungkin mengakibatkan banyak kes tidak dikesan, kadar positif juga dapat membantu kita untuk memahami tentang penularan virus itu. Menurut kriteria yang diterbitkan oleh Pertubuhan Kesihatan Sedunia (WHO) pada bulan Mei 2020, kadar positif yang kurang daripada 5% merupakan satu penunjuk bahawa wabak tersebut dapat dikawal di sebuah negara."
New Deaths,Kes Kematian Baharu
"With more population being vaccinated, the daily new cases may increase but the new deaths will not increase with same magnitude.","Dengan lebih ramai penduduk menerima vaksin, peningkatan kes kematian adalah lebih terkawal walaupun kes baru harian bertambah. "
Latest New Deaths by State,Angka Kematian Terkini Mengikut Negeri
Latest Hospital Bed Usage by State,Penggunaan Katil Hospital Terkini Mengikut Negeri
"With more population being vaccinated, the daily new cases may increase but the number of patients being hospitalised will not increase with same magnitude.","Dengan lebih ramai penduduk menerima vaksin, peningkatan pesakit yang perlu masuk hospital adalah lebih terkawal walaupun kes baru harian bertambah. "
Latest ICU Bed Usage by State,Penggunaan Katil Unit Rawatan Rapi (ICU) Terkini Mengikut Negeri
"With more population being vaccinated, the daily new cases may increase but the number of patients being admited to ICU will not increase with same magnitude.","Dengan lebih ramai penduduk menerima vaksin, peningkatan pesakit yang perlu masuk ICU adalah lebih terkawal walaupun kes baru harian bertambah. "
Latest Ventilator Usage by State,Penggunaan Alat Bantuan Pernafasan Terkini Mengikut Negeri
"The ventilator usage reported here is the sum of portable and non-portable ventilator. With more population being vaccinated, the daily new cases may increase but the number of patients who need ventilator will not increase with same magnitude.","Penggunaan alat bantuan pernafasan yang disebutkan sini termasuk alat bantuan pernafasan mudah alih and tidak mudah alih. Dengan lebih ramai penduduk menerima vaksin, peningkatan pesakit yang memerlukan alat bantuan pernafasan adalah lebih terkawal walaupun kes baru harian bertambah. "
Category of Active Clusters,Kategori Kluster Aktif
The first figure shows the number of active clusters contributed by different categories.,Gambarajah pertama menunjukkan bilangan kluster aktif dari pelbagai kategori
The second figure shows the number of patients per active cluster contributed by different categories.,Gambarajah kedua menunjukkan purata bilangan pesakit untuk setiap kluster active dari pelbagai kategori
Active Cluster by State,Kluster Aktif Mengikut Negeri
Active Cluster by State and District,Kluster Aktif Mengikut Negeri dan Daerah
Date,Tarikh
People with 2 Doses of Vaccine,Individu yang Menerima 2 Dos Vaksin
Daily Vaccine Administration,Pemberian Vaksin Harian
State,Negeri
Population with 2 Doses of Vaccine (%),Populasi yang Menerima 2 Dos Vaksin (%)
Number of New Cases,Bilangan Kes Baharu
Number of Tests,Bilangan Ujian Saringan
Positive Rate (%),Kadar Positif (%)
Number of Deaths,Angka Kematian
Usage of Hospital Bed (%),Penggunaan Katil Hospital (%)
Usage of ICU Bed (%),Penggunaan Katil Unit Rawatan Rapi (ICU) (%)
Usage of ICU Ventilator (%),Penggunaan Alat Bantuan Pernafasan di Unit Rawatan Rapi (ICU) (%)
Category,Kategori
Number of Active Cluster,Bilangan Kluster Aktif
Workplace,Tempat Kerja
Community,Komuniti
Detention Centre,Pusat Tahanan
Education,Pendidikan
High Risk,Risiko Tinggi
Import,Import
Religious,Agama
Number of Cases Per Active Cluster,Purata Bilangan Kes untuk Setiap Kluster